CRUISEJOIN,HAULJOIN,CATCHJOIN,REGION,VESSEL,CRUISE,HAUL,SPECIES_CODE,WEIGHT,NUMBER_FISH,SUBSAMPLE_CODE,VOUCHER,AUDITJOIN
1414142,11363,309002,BS,60,198502,248,10220,3.402,6,[NULL],[NULL],681384
1414142,11363,309044,BS,60,198502,248,99994,0.227,[NULL],[NULL],[NULL],681385
1414142,11363,309034,BS,60,198502,248,75285,0.318,12,[NULL],[NULL],191639
1414142,11363,309035,BS,60,198502,248,80020,4.990,11,[NULL],[NULL],191640
1414142,11363,309036,BS,60,198502,248,80200,15.876,47,[NULL],[NULL],191641
1414142,11363,309037,BS,60,198502,248,80590,0.136,1,[NULL],[NULL],191642
1414142,11363,309038,BS,60,198502,248,81742,222.714,8511,[NULL],[NULL],191643
1414142,11363,309039,BS,60,198502,248,82510,0.227,7,[NULL],[NULL],191644
1414142,11363,309041,BS,60,198502,248,95000,0.136,1,[NULL],[NULL],191645
1414142,11363,309042,BS,60,198502,248,98000,0.272,[NULL],[NULL],[NULL],191646
1414142,11363,309043,BS,60,198502,248,99993,0.363,[NULL],[NULL],[NULL],191647
1414142,11363,309012,BS,60,198502,248,21735,16.329,411,[NULL],[NULL],191619
1414142,11363,309013,BS,60,198502,248,21740,0.590,30,[NULL],[NULL],191620
1414142,11363,309014,BS,60,198502,248,21932,0.045,1,[NULL],[NULL],191621
1414142,11363,309015,BS,60,198502,248,23055,1.406,64,[NULL],[NULL],191622
1414142,11363,309016,BS,60,198502,248,23807,0.544,18,[NULL],[NULL],191623
1414142,11363,309017,BS,60,198502,248,23809,0.499,2,[NULL],[NULL],191624
1414142,11363,309018,BS,60,198502,248,24184,0.363,5,[NULL],[NULL],191625
1414142,11363,309019,BS,60,198502,248,24185,1.270,9,[NULL],[NULL],191626
1414142,11363,309020,BS,60,198502,248,40500,0.680,[NULL],[NULL],[NULL],191627
1414142,11363,309021,BS,60,198502,248,41201,0.091,3,[NULL],[NULL],191628
1414142,11363,309022,BS,60,198502,248,43000,0.544,[NULL],[NULL],[NULL],191629
1414142,11363,309024,BS,60,198502,248,68580,2.948,224,[NULL],[NULL],191630
1414142,11363,309025,BS,60,198502,248,68781,1.134,4,[NULL],[NULL],191631
1414142,11363,309026,BS,60,198502,248,69061,0.136,8,[NULL],[NULL],191632
1414142,11363,309027,BS,60,198502,248,69090,0.091,1,[NULL],[NULL],191633
1414142,11363,309028,BS,60,198502,248,69120,0.907,10,[NULL],[NULL],191634
