CRUISEJOIN,HAULJOIN,REGION,VESSEL,CRUISE,HAUL,HAUL_TYPE,PERFORMANCE,START_TIME,DURATION,DISTANCE_FISHED,NET_WIDTH,NET_MEASURED,NET_HEIGHT,STRATUM,START_LATITUDE,END_LATITUDE,START_LONGITUDE,END_LONGITUDE,STATIONID,GEAR_DEPTH,BOTTOM_DEPTH,BOTTOM_TYPE,SURFACE_TEMPERATURE,GEAR_TEMPERATURE,WIRE_LENGTH,GEAR,ACCESSORIES,SUBSAMPLE,AUDITJOIN,YEAR
1414142,11363,BS,60,198502,248,3,0.00,9/24/1985 2:00:00 PM,0.5000,2.593,8.009,N,[NULL],[NULL],63.99600,63.99567,-165.02117,-164.96750,[NULL],15,15,0,6.2,7.7,46,39,15,1,11526,1985
1414142,11396,BS,60,198502,281,3,0.00,9/30/1985 8:00:00 AM,0.5000,2.648,8.009,N,[NULL],[NULL],63.66650,63.66600,-164.57183,-164.62683,[NULL],9,9,0,6.5,6.5,46,39,15,1,11650,1985
1414142,11367,BS,60,198502,252,3,0.00,9/25/1985 8:00:00 AM,0.5000,2.667,8.009,N,[NULL],[NULL],64.33400,64.33950,-164.22650,-164.17150,[NULL],11,11,0,6.1,7.8,46,39,15,1,11530,1985
1414142,11328,BS,60,198502,213,3,0.00,9/17/1985 8:00:00 AM,0.5000,2.685,8.009,N,[NULL],[NULL],64.16433,64.17533,-164.99600,-164.94533,[NULL],15,15,0,6.8,8.2,46,39,15,1,11401,1985
1414142,11364,BS,60,198502,249,3,0.00,9/24/1985 4:00:00 PM,0.5000,2.722,8.009,N,[NULL],[NULL],64.00000,64.00100,-164.61150,-164.55533,[NULL],16,16,0,6.3,7.9,46,39,15,1,11527,1985
1414142,11365,BS,60,198502,250,3,0.00,9/24/1985 6:00:00 PM,0.5000,2.741,8.009,N,[NULL],[NULL],64.16900,64.17333,-164.60167,-164.54533,[NULL],13,13,0,7.0,7.9,46,39,15,1,11528,1985
1414142,11380,BS,60,198502,265,3,0.00,9/27/1985 9:00:00 AM,0.5000,2.741,8.009,N,[NULL],[NULL],64.49433,64.51917,-162.23333,-162.23800,[NULL],9,9,0,6.2,7.0,46,39,15,1,11543,1985
1414142,11359,BS,60,198502,244,3,0.00,9/24/1985 7:00:00 AM,0.5000,2.759,8.009,N,[NULL],[NULL],63.66400,63.65850,-165.31200,-165.36850,[NULL],15,15,0,6.6,7.3,46,39,15,1,11522,1985
1414142,11385,BS,60,198502,270,3,0.00,9/28/1985 8:00:00 AM,0.5000,2.759,8.009,N,[NULL],[NULL],64.35017,64.32667,-161.48517,-161.46417,[NULL],7,7,0,6.5,7.4,46,39,15,1,11548,1985
1414142,11333,BS,60,198502,218,3,0.00,9/19/1985 8:00:00 AM,0.5000,2.778,8.009,N,[NULL],[NULL],64.49367,64.50833,-165.74017,-165.76567,[NULL],16,16,0,6.9,8.3,46,39,15,1,11406,1985
1414142,11361,BS,60,198502,246,3,0.00,9/24/1985 11:00:00 AM,0.5000,2.834,8.009,N,[NULL],[NULL],63.99933,63.99900,-165.36050,-165.30400,[NULL],15,15,0,6.0,7.7,46,39,15,1,11524,1985
