SPECIES_CODE,SPECIES_NAME,COMMON_NAME,YEAR_ADDED
40001,Cnidaria,coelenterate unid.,1989
40010,Hydrozoa,[NULL],1988
40011,Hydroidolina,hydroid unid.,1984
40020,Hydractinia sp.,[NULL],1984
40050,Sertularia robusta,[NULL],1989
40500,Scyphozoa,jellyfish unid.,1988
40501,Chrysaora sp.,chrysaora jelly,1984
40510,Atolla sp.,[NULL],1984
40560,Cyanea sp.,[NULL],1984
40561,Cyanea capillata,lion's mane jelly,1984
41000,Anthozoa,[NULL],1988
41100,Alcyonacea,soft coral unid.,1988
41201,Gersemia sp.,sea raspberry,1984
41221,Gersemia rubiformis,[NULL],1984
41500,Gorgonacea,gorgonian coral unid.,1988
41520,Primnoa sp.,[NULL],1984
41522,Primnoa willeyi,red tree coral,1989
41580,Paragorgia sp.,[NULL],1984
41582,Paragorgia arborea,Kamchatka coral,1989
41600,Callogorgia sp.,[NULL],1984
42000,Pennatulacea,sea whip or sea pen unid.,1988
42001,Virgularia sp.,smoothstem seawhip,1984
42005,Stylatula gracile,roughstem seawhip,1984
42008,Halipteris sp.,[NULL],1984
42010,Halipteris finmarchia,[NULL],1984
42017,Ptilosarcus gurneyi,orange sea pen,1984
43000,Actiniaria,sea anemone unid.,1988
43010,Metridium sp.,[NULL],1984
43020,Metridium senile,clonal plumose anemone,1984
43040,Urticina sp.,[NULL],1984
30320,Sebastes maliger,quillback rockfish,1984
30330,Sebastes melanops,black rockfish,1984
30340,Sebastes melanostomus,blackgill rockfish,1984
30350,Sebastes miniatus,vermilion rockfish,1984
30360,Sebastes mystinus,blue rockfish,1984
30370,Sebastes nebulosus,China rockfish,1984
30380,Sebastes nigrocinctus,tiger rockfish,1984
30390,Sebastes ovalis,speckled rockfish,1984
30400,Sebastes paucispinis,bocaccio,1984
30410,Sebastes pinniger,canary rockfish,1984
30420,Sebastes polyspinis,northern rockfish,1984
30430,Sebastes proriger,redstripe rockfish,1984
30460,Sebastes rosaceus,rosy rockfish,1984
30470,Sebastes ruberrimus,yelloweye rockfish,1984
30475,Sebastes babcocki,redbanded rockfish,1984
30480,Sebastes rubrivinctus,flag rockfish,1984
30490,Sebastes saxicola,stripetail rockfish,1984
30500,Sebastes semicinctus,halfbanded rockfish,1984
30510,Sebastes serranoides,olive rockfish,1984
30535,Sebastes variegatus,harlequin rockfish,1984
30540,Sebastes vexillaris,whitebelly rockfish,1984
30550,Sebastes wilsoni,pygmy rockfish,1984
30560,Sebastes zacentrus,sharpchin rockfish,1984
30570,Sebastes phillipsi,chameleon rockfish,1984
30575,Sebastes rufus,bank rockfish,1984
